Author,Year,Title,Academic department,City,University,No. of pages,Thesis type,Accesion number,Call number,Label,Keywords,Abstract,URL,Author Address
R. N. Abdar,2010,Studies on hydrobiological monitoring avifauna and icthyofauna of Seena Dam Dist. Ahmednagar (M.S.) India,Department of Zoology,,"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad",,Ph.D.,,,TD-00104,Landbirds,,,
Waterbirds,,,,,,,,,,,,,,
Waterfowl,,,,,,,,,,,,,,
Deccan Plateau,,,,,,,,,,,,,,
Waterbodies,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Dam,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Species composition,,,,,,,,,,,,,,
Species co-occurrence,,,,,,,,,,,,,,
Habitat preference ,,,,,,,,,,,,,,
Limnology,,,,,,,,,,,,,,
Migrants,,,,,,,,,,,,,,
Piscivores,,,,,,,,,,,,,,
Foraging maneuver,,,,,,,,,,,,,,
E. V. Abdulla,2006,"Biology, ecology and behaviour of Purple Moorhen Porphyrio porphyrio",Farook College,Kozhikode,"University of Calicut, Calicut",,Ph.D.,,,TD-00022,Rails,,,
Porphyrio porphyrio,,,,,,,,,,,,,,
Rallidae,,,,,,,,,,,,,,
Malabar Plains,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Bird populations,,,,,,,,,,,,,,
Species abundance,,,,,,,,,,,,,,
Microhabitat characteristics,,,,,,,,,,,,,,
Breeding success,,,,,,,,,,,,,,
B. K. Acharya,2008,"Bird communities and their distribution pattern along the elevation gradient of Teesta valley, Sikkim",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,,,TD-00012,Landbirds,,,acharya2skm@gmail.com
Eastern Himalaya,,,,,,,,,,,,,,
Mountains,,,,,,,,,,,,,,
Forests,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Species co-existence,,,,,,,,,,,,,,
Indicator species,,,,,,,,,,,,,,
Elevational pattern,,,,,,,,,,,,,,
Habitat selection,,,,,,,,,,,,,,
S. Agarwal,2007,Nidification behaviour of birds of Kanpur,Department of Zoology,,"Chhatrapati Shahu Ji Maharaj University, Kanpur",,Ph.D.,,,TD-00156,Landbirds,,,
Waterbirds,,,,,,,,,,,,,,
Upper Gangetic Plains,,,,,,,,,,,,,,
Forests,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Grasslands,,,,,,,,,,,,,,
Waterbodies,,,,,,,,,,,,,,
Avian systematics,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Habitat occupancy,,,,,,,,,,,,,,
Habitat selection,,,,,,,,,,,,,,
Species co-existence,,,,,,,,,,,,,,
Nest characteristics,,,,,,,,,,,,,,
Predation ,,,,,,,,,,,,,,
Anti-predation strategy,,,,,,,,,,,,,,
F. A. Ahangar,2008,Studies on avian diversity and breeding biology of Mallard (Anas platyrhynchos platyrhynchos) in the wetlands of Kashmir,Deartment of Zoology,,"University of Kashmir, Srinagar",,Ph.D.,,,TD-00146,Ducks,,,
Waterfowl,,,,,,,,,,,,,,
Waterbirds,,,,,,,,,,,,,,
Anas platyrhynchos,,,,,,,,,,,,,,
Anatidae,,,,,,,,,,,,,,
Kashmir Valley,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Waterbodies,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Habitat selection,,,,,,,,,,,,,,
Winter migrant,,,,,,,,,,,,,,
Macrohabitat characteristics,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Nest characteristics,,,,,,,,,,,,,,
Parental care,,,,,,,,,,,,,,
Nesting biology,,,,,,,,,,,,,,
Nesting plants,,,,,,,,,,,,,,
Secretive behaviour,,,,,,,,,,,,,,
K. Ahmed,2010,"A study on faunal diversity of Dabka and Khulgad watershed areas of Kumaon Himalayas, Uttarakhand, India",Department of Wildlife Sciences,Aligarh,Aligarh Muslim University,276,Ph.D.,,,TD-00341,Bird community,,,
Community ecology,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Kumoan Himalayas,,,,,,,,,,,,,,
Vegetation composition,,,,,,,,,,,,,,
Vegetation structure,,,,,,,,,,,,,,
Population studies,,,,,,,,,,,,,,
Himalayan ungulates,,,,,,,,,,,,,,
Tiger,,,,,,,,,,,,,,
Leopard,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Management of forest,,,,,,,,,,,,,,
Conservation strategy,,,,,,,,,,,,,,
Herpetofauna,,,,,,,,,,,,,,
D. A. Ahuja,1994,Functional anatomy of pectoral appendage of some birds of Phasianidae family,Department of Zoology,,"Saurashtra University, Rajkot",,Ph.D.,,,TD-00206,Landbirds,,,
Phasianidae,,,,,,,,,,,,,,
Galliformes,,,,,,,,,,,,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Dry evergreen forests,,,,,,,,,,,,,,
Dry deciduous forests,,,,,,,,,,,,,,
Avian physiology & anatomy,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Pectoral appendages,,,,,,,,,,,,,,
Muscular system,,,,,,,,,,,,,,
G. A. Ajay,2011,Studies on the ecology and conservation strategies for Indian Peafowl Pavo cristatus in some selected areas of Karnataka,Department of Environmental Science,,"Kuvempu University, Sankaraghatta",,Ph.D.,,,TD-00109,Galliformes,,,
Pavo cristatus,,,,,,,,,,,,,,
Phasianidae,,,,,,,,,,,,,,
Deccan Plateau,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Woodlands,,,,,,,,,,,,,,
