Thesis #,Author,Year,Title,Academic department,City,University,No. of pages,Thesis type,Label,Keywords,
TD-00001,"Singh, P.",2014,"Study of altitudinal and geographical song variation, and interspecific interaction among Phylloscopus warblers in the Himalayas",Wildlife Institute of India,Dehradun,"Forest Research Institute, Dehradun",,Ph.D.,TD-00001,Leaf warblers,
,Phylloscopus xanthoschistos,,,,,,,,,,
,Phylloscopus reguloides,,,,,,,,,,
,Phylloscopidae,,,,,,,,,,
,Western Himalayas,,,,,,,,,,
,Eastern Himalaya,,,,,,,,,,
,North-eastern Hills,,,,,,,,,,
,Forests,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Avian vocalization,,,,,,,,,,
,Competition,,,,,,,,,,
,Habitat selection,,,,,,,,,,
TD-00003,"Sridhar, H.",2013,Causes and consequences of heterospecific foraging associations in terrestrial bird communities,Centre for Ecological Sciences,Bangalore,"Indian Institute of Science, Bangalore",,Ph.D.,TD-00003,Landbirds,
,Western Ghats (Central),,,,,,,,,,
,Forests,,,,,,,,,,
,Evolutionary biology,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Mixed species flocks,,,,,,,,,,
,Bird communities,,,,,,,,,,
,Competition,,,,,,,,,,
,Anti-predation strategy,,,,,,,,,,
,Foraging ecology,,,,,,,,,,
TD-00004,"Kaushik, M.",2015,"Influence of extractive disturbances on forest bird communities in Siwalik landscape, India",Wildlife Institute of India,Dehradun,"Saurashtra University, Rajkot",,Ph.D.,TD-00004,Landbirds,
,Siwalik Hills,,,,,,,,,,
,Forests,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Bird communities,,,,,,,,,,
,Habitat disturbance,,,,,,,,,,
,NTFP extraction,,,,,,,,,,
,Foraging guilds,,,,,,,,,,
TD-00005,"Gokula, V.",1998,"Bird communities of the thorn and dry decidious forests in Mudumalai Wildlife Sanctuary, south India",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,TD-00005,Landbirds,
,Western Ghats (Central),,,,,,,,,,
,Thorn forests,,,,,,,,,,
,Dry deciduous forests,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Community composition,,,,,,,,,,
,Habitat structure,,,,,,,,,,
,Bird Population,,,,,,,,,,
,Foraging ecology,,,,,,,,,,
,Nest-site characteristics,,,,,,,,,,
TD-00006,"Sivakumar, K.",2000,A study on the breeding biology of the Nicobar Megapode Megapodius nicobariensis,Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,TD-00006,Megapodes,
,Megapodiidae,,,,,,,,,,
,Megapodius nicobariensis,,,,,,,,,,
,Nicobar Islands,,,,,,,,,,
,Forests,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Habitat selection,,,,,,,,,,
,Endemic species,,,,,,,,,,
,Social organisation,,,,,,,,,,
,Habitat modelling,,,,,,,,,,
,Nest-site characteristics,,,,,,,,,,
,Mound nests,,,,,,,,,,
TD-00007,"Nirmala, T.",2002,"Ecology of bird communties in the Anaikatty hills, Coimbatore",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,TD-00007,Landbirds,
,Western Ghats (Central),,,,,,,,,,
,Dry deciduious forests,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Landscape ecology,,,,,,,,,,
,Community structure,,,,,,,,,,
,Vegetation ,,,,,,,,,,
,Competition,,,,,,,,,,
,Species co-existence,,,,,,,,,,
,Niche overlap,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
TD-00008,"Maheswaran, B.",2002,"Habitat utlization by Malabar Grey Hornbill at Mudumalai Wildlife Sanctuary, Western Ghats",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,TD-00008,Hornbills,
,Ocyceros griseus,,,,,,,,,,
,Bucerotidae,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Dry deciduous forests,,,,,,,,,,
,Moist deciduous forests,,,,,,,,,,
,Thorn forests,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Habitat preference,,,,,,,,,,
,Frugivory,,,,,,,,,,
,Plant-bird interactions,,,,,,,,,,
,Nest site fidelity,,,,,,,,,,
,Nesting biology,,,,,,,,,,
TD-00009,"Somasundaram, S.",2006,Status and eclogy of the Nilgiri Wood Pigeon in the Western Ghats,Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,TD-00009,Doves & Pigeons,
,Columba elphinstonii,,,,,,,,,,
,Columbidae,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Forests,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Habitat use,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Activity pattern,,,,,,,,,,
,Nest characteristics,,,,,,,,,,
TD-00010,"Vinod, U. J.",2007,Status and ecology of the Nilgiri Pipit in the Western Ghats,Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,TD-00010,Pipits,
,Anthus nilghiriensis,,,,,,,,,,
,Motacillidae,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Grasslands,,,,,,,,,,
,Shrublands,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Habitat use,,,,,,,,,,
,Habitat preference,,,,,,,,,,
,Activity pattern,,,,,,,,,,
,Breeding biology,,,,,,,,,,
TD-00011,"Balakrishnan, P.",2007,"Status, distribution and ecology of the Grey-headed Bulbul, Pycnonotus priocephalus in the Western Ghats, India",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,TD-00011,Bulbuls,
,Pycnonotus priocephalus,,,,,,,,,,
,Pycnonotidae,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Evergreen forests,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Species distribution,,,,,,,,,,
,Habitat selection,,,,,,,,,,
,Breeding biology,,,,,,,,,,
